,    1,    7840,   20060801, ARG, ARGH                , Texas               ,cf2006    
8266,79.0,821.0,20060904.0, ARG, ARGH                , Bowling Green       ,cf2006    
8267,80.0,8367.0,20060904.0, ARG, ARGH                , Vanderbilt          ,cf2006    
8268,81.0,87.0,20060904.0, ARG, ARGH                , UAB                 ,cf2006    
8269,82.0,3781.0,20060904.0, ARG, ARGH                , Kentucky            ,cf2006    
8270,83.0,1404.0,20060904.0, ARG, ARGH                , C Michigan          ,cf2006    
8271,84.0,4936.0,20060904.0, ARG, ARGH                , Mississippi St      ,cf2006    
8272,85.0,7002.0,20060904.0, ARG, ARGH                , San Diego St        ,cf2006    
8273,86.0,501.0,20060904.0, ARG, ARGH                , Ball St             ,cf2006    
8274,87.0,4218.0,20060904.0, ARG, ARGH                , Louisiana Tech      ,cf2006    
8275,88.0,8551.0,20060904.0, ARG, ARGH                , Washington          ,cf2006    
8276,89.0,9162.0,20060904.0, ARG, ARGH                , Wyoming             ,cf2006    
8277,90.0,2292.0,20060904.0, ARG, ARGH                , East Carolina       ,cf2006    
8278,91.0,5371.0,20060904.0, ARG, ARGH                , New Mexico          ,cf2006    
8279,92.0,4920.0,20060904.0, ARG, ARGH                , Mississippi         ,cf2006    
8280,93.0,55.0,20060904.0, ARG, ARGH                , Air Force           ,cf2006    
8281,94.0,4725.0,20060904.0, ARG, ARGH                , Miami OH            ,cf2006    
8282,95.0,8767.0,20060904.0, ARG, ARGH                , W Michigan          ,cf2006    
8283,96.0,5825.0,20060904.0, ARG, ARGH                , Ohio                ,cf2006    
8284,97.0,356.0,20060904.0, ARG, ARGH                , Army                ,cf2006    
8285,98.0,7358.0,20060904.0, ARG, ARGH                , SMU                 ,cf2006    
8286,99.0,4194.0,20060904.0, ARG, ARGH                , ULL                 ,cf2006    
8287,100.0,7729.0,20060904.0, ARG, ARGH                , Syracuse            ,cf2006    
8288,101.0,8068.0,20060904.0, ARG, ARGH                , Troy                ,cf2006    
8289,102.0,333.0,20060904.0, ARG, ARGH                , Arkansas St         ,cf2006    
8290,103.0,4785.0,20060904.0, ARG, ARGH                , MTSU                ,cf2006    
8291,104.0,5323.0,20060904.0, ARG, ARGH                , UNLV                ,cf2006    
8292,105.0,2353.0,20060904.0, ARG, ARGH                , E Michigan          ,cf2006    
8293,106.0,4200.0,20060904.0, ARG, ARGH                , ULM                 ,cf2006    
8294,107.0,5584.0,20060904.0, ARG, ARGH                , North Texas         ,cf2006    
8295,108.0,6535.0,20060904.0, ARG, ARGH                , Rice                ,cf2006    
8296,109.0,2265.0,20060904.0, ARG, ARGH                , Duke                ,cf2006    
8297,110.0,8092.0,20060904.0, ARG, ARGH                , Tulane              ,cf2006    
8298,111.0,8325.0,20060904.0, ARG, ARGH                , Utah St             ,cf2006    
8299,112.0,3415.0,20060904.0, ARG, ARGH                , Idaho               ,cf2006    
8300,113.0,7024.0,20060904.0, ARG, ARGH                , San Jose St         ,cf2006    
8301,114.0,3771.0,20060904.0, ARG, ARGH                , Kent                ,cf2006    
8302,115.0,2652.0,20060904.0, ARG, ARGH                , Florida Intl        ,cf2006    
8303,116.0,2638.0,20060904.0, ARG, ARGH                , FL Atlantic         ,cf2006    
8304,117.0,5387.0,20060904.0, ARG, ARGH                , New Mexico St       ,cf2006    
8305,118.0,979.0,20060904.0, ARG, ARGH                , Buffalo             ,cf2006    
8306,119.0,7788.0,20060904.0, ARG, ARGH                , Temple              ,cf2006    
13355,1.0,5850.0,20060909.0, ARG, ARGH                , Ohio St             ,cf2006    
13356,2.0,8251.0,20060909.0, ARG, ARGH                , USC                 ,cf2006    
13357,3.0,402.0,20060909.0, ARG, ARGH                , Auburn              ,cf2006    
13358,4.0,7840.0,20060909.0, ARG, ARGH                , Texas               ,cf2006    
13359,5.0,5749.0,20060909.0, ARG, ARGH                , Notre Dame          ,cf2006    
13360,6.0,4206.0,20060909.0, ARG, ARGH                , LSU                 ,cf2006    
13361,7.0,8459.0,20060909.0, ARG, ARGH                , Virginia Tech       ,cf2006    
13362,8.0,4741.0,20060909.0, ARG, ARGH                , Michigan            ,cf2006    
13363,9.0,2625.0,20060909.0, ARG, ARGH                , Florida             ,cf2006    
13364,10.0,783.0,20060909.0, ARG, ARGH                , Boston College      ,cf2006    
13365,11.0,2881.0,20060909.0, ARG, ARGH                , Georgia             ,cf2006    
