,    1,    2625,   20090801, ARG, ARGH                , Florida             ,cf2009    
9375,117.0,5584.0,20090907.0, ARG, ARGH                , North Texas         ,cf2009    
9376,118.0,3415.0,20090907.0, ARG, ARGH                , Idaho               ,cf2009    
9377,119.0,4725.0,20090907.0, ARG, ARGH                , Miami OH            ,cf2009    
9378,120.0,5387.0,20090907.0, ARG, ARGH                , New Mexico St       ,cf2009    
14469,1.0,2625.0,20090912.0, ARG, ARGH                , Florida             ,cf2009    
14470,2.0,8251.0,20090912.0, ARG, ARGH                , USC                 ,cf2009    
14471,3.0,7840.0,20090912.0, ARG, ARGH                , Texas               ,cf2009    
14472,4.0,74.0,20090912.0, ARG, ARGH                , Alabama             ,cf2009    
14473,5.0,5886.0,20090912.0, ARG, ARGH                , Oklahoma            ,cf2009    
14474,6.0,771.0,20090912.0, ARG, ARGH                , Boise St            ,cf2009    
14475,7.0,6114.0,20090912.0, ARG, ARGH                , Penn St             ,cf2009    
14476,8.0,3717.0,20090912.0, ARG, ARGH                , Kansas              ,cf2009    
14477,9.0,891.0,20090912.0, ARG, ARGH                , BYU                 ,cf2009    
14478,10.0,8459.0,20090912.0, ARG, ARGH                , Virginia Tech       ,cf2009    
14479,11.0,1098.0,20090912.0, ARG, ARGH                , California          ,cf2009    
14480,12.0,8315.0,20090912.0, ARG, ARGH                , Utah                ,cf2009    
14481,13.0,5850.0,20090912.0, ARG, ARGH                , Ohio St             ,cf2009    
14482,14.0,4948.0,20090912.0, ARG, ARGH                , Missouri            ,cf2009    
14483,15.0,4206.0,20090912.0, ARG, ARGH                , LSU                 ,cf2009    
14484,16.0,7878.0,20090912.0, ARG, ARGH                , TCU                 ,cf2009    
14485,17.0,2911.0,20090912.0, ARG, ARGH                , Georgia Tech        ,cf2009    
14486,18.0,5492.0,20090912.0, ARG, ARGH                , North Carolina      ,cf2009    
14487,19.0,5970.0,20090912.0, ARG, ARGH                , Oregon St           ,cf2009    
14488,20.0,6236.0,20090912.0, ARG, ARGH                , Pittsburgh          ,cf2009    
14489,21.0,1529.0,20090912.0, ARG, ARGH                , Cincinnati          ,cf2009    
14490,22.0,4920.0,20090912.0, ARG, ARGH                , Mississippi         ,cf2009    
14491,23.0,3540.0,20090912.0, ARG, ARGH                , Iowa                ,cf2009    
14492,24.0,2881.0,20090912.0, ARG, ARGH                , Georgia             ,cf2009    
14493,25.0,5912.0,20090912.0, ARG, ARGH                , Oklahoma St         ,cf2009    
14494,26.0,7918.0,20090912.0, ARG, ARGH                , Texas Tech          ,cf2009    
14495,27.0,7278.0,20090912.0, ARG, ARGH                , South Florida       ,cf2009    
14496,28.0,402.0,20090912.0, ARG, ARGH                , Auburn              ,cf2009    
14497,29.0,5279.0,20090912.0, ARG, ARGH                , Nebraska            ,cf2009    
14498,30.0,8716.0,20090912.0, ARG, ARGH                , West Virginia       ,cf2009    
14499,31.0,8508.0,20090912.0, ARG, ARGH                , Wake Forest         ,cf2009    
14500,32.0,8141.0,20090912.0, ARG, ARGH                , UCLA                ,cf2009    
