,      74,    1,   20120801, ARG, ARGH                , Alabama             ,cf2012    
10788,4206.0,3.0,20120903.0, ARG, ARGH                , LSU                 ,cf2012    
10789,8251.0,4.0,20120903.0, ARG, ARGH                , USC                 ,cf2012    
10790,5912.0,5.0,20120903.0, ARG, ARGH                , Oklahoma St         ,cf2012    
10791,5961.0,6.0,20120903.0, ARG, ARGH                , Oregon              ,cf2012    
10792,7582.0,7.0,20120903.0, ARG, ARGH                , Stanford            ,cf2012    
10793,402.0,8.0,20120903.0, ARG, ARGH                , Auburn              ,cf2012    
10794,5279.0,9.0,20120903.0, ARG, ARGH                , Nebraska            ,cf2012    
10795,7242.0,10.0,20120903.0, ARG, ARGH                , South Carolina      ,cf2012    
10796,2666.0,11.0,20120903.0, ARG, ARGH                , Florida St          ,cf2012    
10797,2881.0,12.0,20120903.0, ARG, ARGH                , Georgia             ,cf2012    
10798,4741.0,13.0,20120903.0, ARG, ARGH                , Michigan            ,cf2012    
10799,5749.0,14.0,20120903.0, ARG, ARGH                , Notre Dame          ,cf2012    
10800,7840.0,15.0,20120903.0, ARG, ARGH                , Texas               ,cf2012    
10801,2625.0,16.0,20120903.0, ARG, ARGH                , Florida             ,cf2012    
10802,7801.0,17.0,20120903.0, ARG, ARGH                , Tennessee           ,cf2012    
10803,8716.0,18.0,20120903.0, ARG, ARGH                , West Virginia       ,cf2012    
10804,316.0,19.0,20120903.0, ARG, ARGH                , Arkansas            ,cf2012    
10805,8459.0,20.0,20120903.0, ARG, ARGH                , Virginia Tech       ,cf2012    
10806,4757.0,21.0,20120903.0, ARG, ARGH                , Michigan St         ,cf2012    
10807,1603.0,22.0,20120903.0, ARG, ARGH                , Clemson             ,cf2012    
10808,5850.0,23.0,20120903.0, ARG, ARGH                , Ohio St             ,cf2012    
10809,557.0,24.0,20120903.0, ARG, ARGH                , Baylor              ,cf2012    
10810,7878.0,25.0,20120903.0, ARG, ARGH                , TCU                 ,cf2012    
10811,3731.0,26.0,20120903.0, ARG, ARGH                , Kansas St           ,cf2012    
10812,4948.0,27.0,20120903.0, ARG, ARGH                , Missouri            ,cf2012    
10813,7848.0,28.0,20120903.0, ARG, ARGH                , Texas A&M           ,cf2012    
10814,8315.0,29.0,20120903.0, ARG, ARGH                , Utah                ,cf2012    
10815,771.0,30.0,20120903.0, ARG, ARGH                , Boise St            ,cf2012    
10816,9031.0,31.0,20120903.0, ARG, ARGH                , Wisconsin           ,cf2012    
10817,891.0,32.0,20120903.0, ARG, ARGH                , BYU                 ,cf2012    
10818,7918.0,33.0,20120903.0, ARG, ARGH                , Texas Tech          ,cf2012    
10819,5511.0,34.0,20120903.0, ARG, ARGH                , NC State            ,cf2012    
10820,4936.0,35.0,20120903.0, ARG, ARGH                , Mississippi St      ,cf2012    
10821,3540.0,36.0,20120903.0, ARG, ARGH                , Iowa                ,cf2012    
10822,8367.0,37.0,20120903.0, ARG, ARGH                , Vanderbilt          ,cf2012    
10823,8551.0,38.0,20120903.0, ARG, ARGH                , Washington          ,cf2012    
10824,6696.0,39.0,20120903.0, ARG, ARGH                , Rutgers             ,cf2012    
10825,4224.0,40.0,20120903.0, ARG, ARGH                , Louisville          ,cf2012    
10826,7278.0,41.0,20120903.0, ARG, ARGH                , South Florida       ,cf2012    
10827,3554.0,42.0,20120903.0, ARG, ARGH                , Iowa St             ,cf2012    
10828,1529.0,43.0,20120903.0, ARG, ARGH                , Cincinnati          ,cf2012    
10829,2911.0,44.0,20120903.0, ARG, ARGH                , Georgia Tech        ,cf2012    
10830,8141.0,45.0,20120903.0, ARG, ARGH                , UCLA                ,cf2012    
10831,4719.0,46.0,20120903.0, ARG, ARGH                , Miami FL            ,cf2012    
10832,5492.0,47.0,20120903.0, ARG, ARGH                , North Carolina      ,cf2012    
10833,5316.0,48.0,20120903.0, ARG, ARGH                , Nevada              ,cf2012    
10834,3425.0,49.0,20120903.0, ARG, ARGH                , Illinois            ,cf2012    
10835,1098.0,50.0,20120903.0, ARG, ARGH                , California          ,cf2012    
10836,3347.0,51.0,20120903.0, ARG, ARGH                , Houston             ,cf2012    
10837,6114.0,52.0,20120903.0, ARG, ARGH                , Penn St             ,cf2012    
10838,8099.0,53.0,20120903.0, ARG, ARGH                , Tulsa               ,cf2012    
10839,6393.0,54.0,20120903.0, ARG, ARGH                , Purdue              ,cf2012    
