,    1,    5850,   20080801, ARG, ARGH                , Ohio St             ,cf2008    
7985,12.0,7840.0,20080901.0, ARG, ARGH                , Texas               ,cf2008    
7986,13.0,8716.0,20080901.0, ARG, ARGH                , West Virginia       ,cf2008    
7987,14.0,7278.0,20080901.0, ARG, ARGH                , South Florida       ,cf2008    
7988,15.0,3717.0,20080901.0, ARG, ARGH                , Kansas              ,cf2008    
7989,16.0,304.0,20080901.0, ARG, ARGH                , Arizona St          ,cf2008    
7990,17.0,8459.0,20080901.0, ARG, ARGH                , Virginia Tech       ,cf2008    
7991,18.0,891.0,20080901.0, ARG, ARGH                , BYU                 ,cf2008    
7992,19.0,1603.0,20080901.0, ARG, ARGH                , Clemson             ,cf2008    
7993,20.0,1098.0,20080901.0, ARG, ARGH                , California          ,cf2008    
7994,21.0,7801.0,20080901.0, ARG, ARGH                , Tennessee           ,cf2008    
7995,22.0,6114.0,20080901.0, ARG, ARGH                , Penn St             ,cf2008    
7996,23.0,9031.0,20080901.0, ARG, ARGH                , Wisconsin           ,cf2008    
7997,24.0,8315.0,20080901.0, ARG, ARGH                , Utah                ,cf2008    
7998,25.0,783.0,20080901.0, ARG, ARGH                , Boston College      ,cf2008    
7999,26.0,5912.0,20080901.0, ARG, ARGH                , Oklahoma St         ,cf2008    
8000,27.0,3781.0,20080901.0, ARG, ARGH                , Kentucky            ,cf2008    
8001,28.0,8508.0,20080901.0, ARG, ARGH                , Wake Forest         ,cf2008    
8002,29.0,7918.0,20080901.0, ARG, ARGH                , Texas Tech          ,cf2008    
8003,30.0,2666.0,20080901.0, ARG, ARGH                , Florida St          ,cf2008    
8004,31.0,294.0,20080901.0, ARG, ARGH                , Arizona             ,cf2008    
8005,32.0,1529.0,20080901.0, ARG, ARGH                , Cincinnati          ,cf2008    
8006,33.0,6696.0,20080901.0, ARG, ARGH                , Rutgers             ,cf2008    
8007,34.0,7878.0,20080901.0, ARG, ARGH                , TCU                 ,cf2008    
8008,35.0,8141.0,20080901.0, ARG, ARGH                , UCLA                ,cf2008    
8009,36.0,4474.0,20080901.0, ARG, ARGH                , Maryland            ,cf2008    
8010,37.0,316.0,20080901.0, ARG, ARGH                , Arkansas            ,cf2008    
8011,38.0,1872.0,20080901.0, ARG, ARGH                , Connecticut         ,cf2008    
8012,39.0,4741.0,20080901.0, ARG, ARGH                , Michigan            ,cf2008    
8013,40.0,3425.0,20080901.0, ARG, ARGH                , Illinois            ,cf2008    
8014,41.0,5970.0,20080901.0, ARG, ARGH                , Oregon St           ,cf2008    
8015,42.0,8551.0,20080901.0, ARG, ARGH                , Washington          ,cf2008    
8016,43.0,2292.0,20080901.0, ARG, ARGH                , East Carolina       ,cf2008    
8017,44.0,771.0,20080901.0, ARG, ARGH                , Boise St            ,cf2008    
8018,45.0,2776.0,20080901.0, ARG, ARGH                , Fresno St           ,cf2008    
8019,46.0,1715.0,20080901.0, ARG, ARGH                , Colorado            ,cf2008    
8020,47.0,6236.0,20080901.0, ARG, ARGH                , Pittsburgh          ,cf2008    
8021,48.0,5749.0,20080901.0, ARG, ARGH                , Notre Dame          ,cf2008    
8022,49.0,4936.0,20080901.0, ARG, ARGH                , Mississippi St      ,cf2008    
8023,50.0,3731.0,20080901.0, ARG, ARGH                , Kansas St           ,cf2008    
8024,51.0,4757.0,20080901.0, ARG, ARGH                , Michigan St         ,cf2008    
8025,52.0,5279.0,20080901.0, ARG, ARGH                , Nebraska            ,cf2008    
8026,53.0,4224.0,20080901.0, ARG, ARGH                , Louisville          ,cf2008    
8027,54.0,8099.0,20080901.0, ARG, ARGH                , Tulsa               ,cf2008    
8028,55.0,7848.0,20080901.0, ARG, ARGH                , Texas A&M           ,cf2008    
8029,56.0,6393.0,20080901.0, ARG, ARGH                , Purdue              ,cf2008    
8030,57.0,8068.0,20080901.0, ARG, ARGH                , Troy                ,cf2008    
8031,58.0,8367.0,20080901.0, ARG, ARGH                , Vanderbilt          ,cf2008    
8032,59.0,5492.0,20080901.0, ARG, ARGH                , North Carolina      ,cf2008    
8033,60.0,1380.0,20080901.0, ARG, ARGH                , UCF                 ,cf2008    
8034,61.0,7582.0,20080901.0, ARG, ARGH                , Stanford            ,cf2008    
8035,62.0,3484.0,20080901.0, ARG, ARGH                , Indiana             ,cf2008    
8036,63.0,3540.0,20080901.0, ARG, ARGH                , Iowa                ,cf2008    
8037,64.0,8432.0,20080901.0, ARG, ARGH                , Virginia            ,cf2008    
8038,65.0,4719.0,20080901.0, ARG, ARGH                , Miami FL            ,cf2008    
8039,66.0,3197.0,20080901.0, ARG, ARGH                , Hawaii              ,cf2008    
8040,67.0,501.0,20080901.0, ARG, ARGH                , Ball St             ,cf2008    
8041,68.0,5704.0,20080901.0, ARG, ARGH                , Northwestern        ,cf2008    
8042,69.0,2638.0,20080901.0, ARG, ARGH                , FL Atlantic         ,cf2008    
8043,70.0,4920.0,20080901.0, ARG, ARGH                , Mississippi         ,cf2008    
8044,71.0,2911.0,20080901.0, ARG, ARGH                , Georgia Tech        ,cf2008    
8045,72.0,1404.0,20080901.0, ARG, ARGH                , C Michigan          ,cf2008    
8046,73.0,821.0,20080901.0, ARG, ARGH                , Bowling Green       ,cf2008    
8047,74.0,4858.0,20080901.0, ARG, ARGH                , Minnesota           ,cf2008    
8048,75.0,55.0,20080901.0, ARG, ARGH                , Air Force           ,cf2008    
8049,76.0,9162.0,20080901.0, ARG, ARGH                , Wyoming             ,cf2008    
8050,77.0,8588.0,20080901.0, ARG, ARGH                , Washington St       ,cf2008    
8051,78.0,5511.0,20080901.0, ARG, ARGH                , NC State            ,cf2008    
8052,79.0,3347.0,20080901.0, ARG, ARGH                , Houston             ,cf2008    
8053,80.0,7365.0,20080901.0, ARG, ARGH                , Southern Miss       ,cf2008    
8054,81.0,5371.0,20080901.0, ARG, ARGH                , New Mexico          ,cf2008    
8055,82.0,5316.0,20080901.0, ARG, ARGH                , Nevada              ,cf2008    
8056,83.0,8767.0,20080901.0, ARG, ARGH                , W Michigan          ,cf2008    
8057,84.0,4436.0,20080901.0, ARG, ARGH                , Marshall            ,cf2008    
8058,85.0,4785.0,20080901.0, ARG, ARGH                , MTSU                ,cf2008    
